date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:02:14	23352/23352	---M--	200	added ('OK')	font/woff2	etag:%226475fdea-5b38%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/2463bodebeck.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/2463bodebeck.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:14	33248/33248	---M--	200	added ('OK')	font/woff	etag:%226475fdeb-81e0%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/2463bodebeck.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/2463bodebeck.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:15	19120/19120	---M--	200	added ('OK')	font/woff2	etag:%226475fdf8-4ab0%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/5411bohemian.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/5411bohemian.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:15	26320/26320	---M--	200	added ('OK')	font/woff	etag:%226475fdf9-66d0%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/5411bohemian.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/5411bohemian.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:15	50300/50300	---M--	200	added ('OK')	font/woff2	etag:%226475fe18-c47c%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/8844Calvino.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/8844Calvino.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:15	68024/68024	---M--	200	added ('OK')	font/woff	etag:%226475fe19-109b8%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/8844Calvino.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/8844Calvino.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:16	94096/94096	---M--	200	added ('OK')	font/woff2	etag:%226475fe30-16f90%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/3184Carolyna-Pro-Black.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/3184Carolyna-Pro-Black.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:16	131868/131868	---M--	200	added ('OK')	font/woff	etag:%226475fe31-2031c%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/3184Carolyna-Pro-Black.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/3184Carolyna-Pro-Black.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:16	122916/122916	---M--	200	added ('OK')	font/woff2	etag:%226475fe44-1e024%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/6211Chilanka-Regular.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/6211Chilanka-Regular.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:16	12400/12400	---M--	200	added ('OK')	font/woff2	etag:%226475fe54-3070%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/7236Coffee-Extra.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/7236Coffee-Extra.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
